Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory,molprofil
X4378,gemcitabine-50mpk,chemotherapy,single,-28.7,73,-11.1,105,112.0,112,SD,X4378
X4378,abraxane,Tubulin,single,180.1,21,44.2,13,13.0,24,PD,X4378
X4426,dacarbazine,chemotherapy,single,306.7,21,72.1,15,9.4,21,PD,X4426
X4439,gemcitabine-50mpk,chemotherapy,single,22.0,66,35.8,15,21.0,94,PD,#HIÁNYZIK
X4439,abraxane,Tubulin,single,125.8,20,-8.0,11,16.1,48,PD,#HIÁNYZIK
X4455,dacarbazine,chemotherapy,single,150.8,20,38.6,13,17.2,21,PD,X4455
X4538,dacarbazine,chemotherapy,single,-12.6,15,-9.6,15,32.7,43,SD-->PD,X4538
X4567,paclitaxel,Tubulin,single,-100.0,55,-75.7,97,97.0,97,CR,X4567
X4644,dacarbazine,chemotherapy,single,238.0,21,56.9,11,8.7,21,PD,X4644
X4649,abraxane,Tubulin,single,130.6,20,33.1,11,15.6,41,PD,X4649
X4649,gemcitabine-50mpk,chemotherapy,single,-33.7,15,-5.7,15,15.0,15,SD,X4649
X4668,dacarbazine,chemotherapy,single,217.1,22,67.1,11,8.6,28,PD,X4668
X4676,gemcitabine-50mpk,chemotherapy,single,-79.7,97,-37.0,97,97.0,97,PR,X4676
X4676,abraxane,Tubulin,single,338.9,15,106.3,12,7.7,15,PD,X4676
X4819,paclitaxel,Tubulin,single,724.0,11,379.8,11,3.0,11,PD,X4819
X4824,paclitaxel,Tubulin,single,124.3,21,35.9,11,18.0,35,PD,X4824
X4832,dacarbazine,chemotherapy,single,-0.5,4,-0.3,4,4.0,4,SD,X4832
X4849,dacarbazine,chemotherapy,single,222.9,21,41.7,11,10.9,25,PD,X4849
X4888,paclitaxel,Tubulin,single,-59.2,101,-17.7,55,104.0,104,SD-->-->PD,X4888
X4927,gemcitabine-50mpk,chemotherapy,single,-70.5,19,-39.1,25,41.3,60,PR-->PD,X4927
X4927,abraxane,Tubulin,single,386.3,17,91.4,11,5.2,17,PD,X4927
X4949,paclitaxel,Tubulin,single,133.7,21,44.3,13,18.7,41,PD,X4949
X5189,dacarbazine,chemotherapy,single,19.3,10,16.6,13,13.0,13,SD,X5189
X5205,gemcitabine-50mpk,chemotherapy,single,-100.0,83,-76.7,112,112.0,112,CR,X5205
X5249,paclitaxel,Tubulin,single,17.1,27,2.7,13,48.0,48,SD-->PD,X5249
X5254,5FU,chemotherapy,single,-25.4,9,-19.2,14,35.0,35,SD-->PD,X5254
X5355,paclitaxel,Tubulin,single,-71.7,45,-45.7,62,85.1,97,PR-->PD,X5355
X5405,5FU,chemotherapy,single,86.0,20,7.1,13,22.4,34,PD,X5405
X5438,5FU,chemotherapy,single,109.8,27,41.7,15,17.4,50,PD,X5438
X5446,5FU,chemotherapy,single,-2.4,14,3.1,14,23.3,42,SD-->PD,X5446
X5494,5FU,chemotherapy,single,11.4,9,8.8,13,51.5,55,SD-->PD,X5494
X5495,5FU,chemotherapy,single,41.9,20,15.0,12,49.0,55,PD,X5495
X5502,paclitaxel,Tubulin,single,-28.1,41,5.3,41,41.0,41,SD,X5502
X5578,5FU,chemotherapy,single,249.5,20,43.5,15,13.2,33,PD,X5578
X5975,paclitaxel,Tubulin,single,-100.0,89,-50.9,89,89.0,89,CR,X5975
X6047,paclitaxel,Tubulin,single,125.1,21,6.0,12,18.3,31,PD,X6047
